code,year,quarter,roe,net_profit_ratio,gross_profit_rate,net_profits,eps,business_income,bips,arturnover,arturndays,inventory_turnover,inventory_days,currentasset_turnover,currentasset_days,mbrg,nprg,nav,targ,epsg,seg,currentratio,quickratio,cashratio,icratio,sheqratio,adratio,cf_sales,rateofreturn,cf_nm,cf_liabilities,cashflowratio
600871,2010,1,1.09,2.09,7.9963,77.94800000000001,0.0194,3716.988,0.9292,18.6819,4.8175,2.3511,38.28,0.8368,107.5526,33.283,114.4846,6.3229999999999995,15.0049,111.1111,6.3229999999999995,2.4141,1.6149,85.9422,-562.4288,77.6358,22.3642,-0.0739,-0.0299,-3.5238,-0.1339,-13.7114
600871,2010,2,5.74,5.65,8.9853,429.541,0.1073,7596.517,1.8991,45.59,3.9482,4.1769,43.0942,1.6294,110.4701,23.811,39.4713,7.2282,10.2991,38.961,7.2282,2.4368,1.5119999999999998,72.9364,-1046.0005,77.1525,22.8475,-0.0588,-0.0461,-1.0407,-0.2019,-20.6457
600871,2010,3,9.93,6.71,11.6801,776.835,0.1942,11567.392,2.8918,64.3469,4.196000000000001,7.8649,34.3297,2.424,111.3861,20.0277,106.7183,11.1289,7.9144,106.383,11.1289,2.6604,2.036,124.4686,-2416.8763,78.7231,21.2769,0.0573,0.0667,0.8527,0.3133,32.0605
600871,2010,4,14.75,7.5,14.6713,1226.542,0.3066,16348.366000000002,4.087,165.1859,2.1794,10.6212,33.8945,3.2295,111.4724,23.6169,221.0692,17.9823,15.1478,219.7917,17.9823,2.7637,2.1639,112.3153,-3129.5755,78.9306,21.0694,0.0979,0.152,1.3051,0.7215,72.8095
600871,2011,1,5.07,8.79,15.7454,444.841,0.1112,5057.0740000000005,1.2642,41.0132,2.1944,2.8416,31.6723,0.7901,113.9096,36.053000000000004,470.6894,22.9402,21.5328,484.2105,22.9402,2.8332,2.1254,102.7234,-3059.7261,78.5349,21.4651,-0.0537,-0.0244,-0.611,-0.1136,-11.4516
600871,2011,2,6.66,5.65,11.9737,584.758,0.1461,10332.587,2.5831,112.93799999999999,1.5938,6.1366,29.3322,1.5917,113.0866,36.0174,36.1355,17.4222,16.6589,36.4486,17.4222,2.7566,2.0998,85.5602,-3481.0252,77.6573,22.3427,-0.0377,-0.0345,-0.6659999999999999,-0.1542,-15.5423
600871,2011,3,9.46,5.47,11.6761,856.437,0.2141,15642.205,3.9105,114.1446,2.3654,9.2059,29.329,2.4024,112.3876,35.2267,10.247,15.6846,15.558,10.3093,15.6846,2.8746,2.1782,87.5491,-2510.5598,78.8094,21.1906,0.0011,0.0015,0.0205,0.0072,0.7271
600871,2011,4,9.29,4.15,9.7798,839.043,0.2097,20179.768,5.0449,224.7378,1.6019,11.8398,30.4059,3.3062,108.8863,23.436,-31.5928,8.6412,8.7207,-31.5961,8.6412,2.5516,1.8205,64.1714,-1731.7032,78.8728,21.1272,-0.0134,-0.0236,-0.3221,-0.1117,-11.2478
600871,2012,1,0.0,0.01,5.4062,0.727,0.0001,4150.775,1.0376,23.4444,3.8389,1.9791,45.4752,0.7263,123.9157,-17.9214,-99.8366,3.1314,-4.2524,-99.8378,3.1314,3.2526,1.8953,61.306999999999995,92.7304,84.5913,15.4087,-0.1207,-0.0469,-689.2751,-0.3046,-30.7581
600871,2012,2,-2.49,-2.6,2.3758,-216.57,-0.0541,8328.595,2.0821,63.9603,2.8142,4.4974,40.0231,1.5312,117.5549,-19.3949,-137.0358,-0.9463,-7.9303,-136.9863,-0.9463,2.7987,1.7028,44.4128,1449.9038,83.5481,16.4519,-0.0604,-0.0484,,-0.294,-29.6669
600871,2012,3,-3.36,-2.29,3.0363,-290.129,-0.0725,12624.771999999999,3.1561,94.2379,2.8651,7.2513,37.2347,2.3241,116.17399999999999,-19.2903,-133.8763,-4.7361,-7.367000000000001,-133.6449,-4.7361,2.3682,1.5579,36.7512,1456.3305,81.0477,18.9523,-0.0242,-0.0287,,-0.1512,-15.2543
