close,code,date,high,low,open,volume
12.594,000060,2010-03-31,15.279,10.362,13.5,986484091
9.681,000060,2010-06-30,13.784,8.896,12.71,1429858650
12.719,000060,2010-09-30,13.078,9.075,9.704,1772778025
16.834,000060,2010-12-31,19.939,13.467,13.991,3206435035
15.562,000060,2011-03-31,17.702,13.168,17.043,1537635266
12.949,000060,2011-06-30,16.609,11.976,15.704,1132711532
10.058,000060,2011-09-30,13.933,9.912,12.998,845165461
8.013,000060,2011-12-30,10.603,7.643,10.087,509043484
8.451,000060,2012-03-30,10.69,7.604,8.11,1179820516
8.393,000060,2012-06-29,9.97,7.964,8.461,627192084
8.057,000060,2012-09-28,8.735,7.076,8.558,549292954
8.882,000060,2012-12-31,8.941,7.066,8.048,505430093
8.843,000060,2013-03-29,11.767,8.637,9.176,1610018086
6.497,000060,2013-06-28,9.304,6.016,8.852,700162504
6.888,000060,2013-09-30,7.766,6.36,6.507,761252354
6.197,000060,2013-12-31,7.055,5.97,6.858,470261302
5.684,000060,2014-03-31,5.96,5.299,5.822,480541383
6.745,000060,2014-06-30,7.043,5.22,5.684,799694574
7.598,000060,2014-09-30,8.789,6.725,6.874,2359379466
9.414,000060,2014-12-31,10.723,7.122,7.707,2791757302
12.647,000060,2015-03-31,13.262,8.868,9.493,3068531463
18.461,000060,2015-06-30,29.362,12.578,12.618,6180585727
9.325,000060,2015-09-30,18.57,9.007,18.143,4601660021
13.933,000060,2015-12-31,16.107,9.633,9.831,4833861172
11.092,000060,2016-03-31,14.151,8.481,13.913,3182641069
10.368,000060,2016-06-30,12.056,9.096,11.033,2647757364
10.129,000060,2016-09-30,12.922,9.851,10.308,2983661790
11.083,000060,2016-12-30,14.185,10.01,10.149,3558527331
11.073,000060,2017-03-31,12.724,10.447,11.143,1731943358
11.167,000060,2017-06-30,11.541,9.353,11.014,1307618277
12.095,000060,2017-09-29,13.7,10.769,11.217,4189012073
18.426,000063,2010-03-31,21.309,17.637,19.527,498928843
12.631,000063,2010-06-30,19.241,12.014,18.422,656860267
16.182,000063,2010-09-30,19.563,12.033,12.559,943027823
17.922,000063,2010-12-31,20.384,15.953,16.412,1545695796
19.694,000063,2011-03-31,22.425,15.395,18.007,1295312209
18.565,000063,2011-06-30,19.839,16.576,19.708,688293302
15.044,000063,2011-09-30,19.152,13.763,18.611,1250204119
13.452,000063,2011-12-30,15.482,12.306,15.036,937667082
13.078,000063,2012-03-30,14.551,11.263,13.532,1217193263
11.112,000063,2012-06-29,14.089,11.048,13.174,1012543484
9.042,000063,2012-09-28,11.526,7.6,11.2,1099173949
7.9,000063,2012-12-31,9.601,6.158,9.196,1086732288
9.075,000063,2013-03-29,10.338,7.381,8.037,2316270892
10.33,000063,2013-06-28,11.019,8.451,8.961,1957284309
13.45,000063,2013-09-30,14.438,9.82,10.355,2306570889
10.59,000063,2013-12-31,14.795,10.46,13.628,2001585444
10.241,000063,2014-03-31,11.708,9.723,10.614,1855887582
10.63,000063,2014-06-30,11.497,9.901,10.411,1677953519
12.311,000063,2014-09-30,12.563,10.314,10.654,2927212055
14.666,000063,2014-12-31,15.73,11.653,12.311,4616636594
17.752,000063,2015-03-31,18.499,14.447,15.105,4488764810
19.336,000063,2015-06-30,28.203,16.867,17.752,7657213887
15.336,000063,2015-09-30,22.1,13.901,18.962,5982487738
18.315,000063,2015-12-31,19.534,15.808,16.005,3982413786
14.805,000063,2016-03-31,18.482,13.213,18.266,1440807921
14.097,000063,2016-06-30,15.631,12.849,14.894,1986412157
14.78,000063,2016-09-30,15.33,13.812,14.088,1796627460
15.95,000063,2016-12-30,17.68,14.71,14.93,2047930343
16.96,000063,2017-03-31,18.33,14.45,15.99,2387132800
23.74,000063,2017-06-30,24.52,16.64,16.97,2427449973
28.3,000063,2017-09-29,29.45,21.1,23.65,3799804336
6.281,000338,2010-03-31,7.017,5.433,5.934,217074010
5.616,000338,2010-06-30,6.825,5.009,6.257,314990731
6.961,000338,2010-09-30,7.418,5.296,5.636,411665574
9.63,000338,2010-12-31,12.413,7.043,7.043,1023316505
