effDate,consTickerSymbol,weight
2017-01-26,002292,0.119
2017-01-26,002241,0.269
2017-01-26,601958,0.08
2017-01-26,600252,0.14
2017-01-26,600018,0.184
2017-01-26,601006,0.45
2017-01-26,600008,0.107
2017-01-26,601800,0.256
2017-01-26,601818,0.689
2017-01-26,600886,0.297
2017-01-26,600654,0.142
2017-01-26,002450,0.469
2017-01-26,600674,0.206
2017-01-26,600489,0.222
2017-01-26,600372,0.114
2017-01-26,002027,0.088
2017-01-26,600895,0.143
2017-01-26,000630,0.232
2017-01-26,000559,0.152
2017-01-26,600827,0.129
2017-01-26,600060,0.145
2017-01-26,600588,0.148
2017-01-26,600648,0.08
2017-01-26,002299,0.086
2017-01-26,600690,0.327
2017-01-26,600663,0.172
2017-01-26,601628,0.454
2017-01-26,600015,0.656
2017-01-26,300133,0.079
2017-01-26,601018,0.217
2017-01-26,000728,0.232
2017-01-26,601169,1.301
2017-01-26,000413,0.203
2017-01-26,002736,0.395
2017-01-26,600023,0.246
2017-01-26,601127,0.049
2017-01-26,000826,0.185
2017-01-26,002424,0.08
2017-01-26,601688,0.639
2017-01-26,000009,0.217
2017-01-26,600369,0.208
2017-01-26,600309,0.295
2017-01-26,600446,0.123
2017-01-26,600177,0.23
2017-01-26,000651,1.315
2017-01-26,600029,0.272
2017-01-26,300033,0.165
2017-01-26,601872,0.114
2017-01-26,601099,0.364
2017-01-26,600958,0.502
2017-01-26,601336,0.408
2017-01-26,000540,0.191
2017-01-26,000783,0.352
2017-01-26,600009,0.281
2017-01-26,000063,0.382
2017-01-26,601928,0.084
2017-01-26,002500,0.132
2017-01-26,600887,1.183
2017-01-26,601668,1.421
2017-01-26,601186,0.599
2017-01-26,601088,0.361
2017-01-26,002081,0.168
2017-01-26,002142,0.367
2017-01-26,002065,0.209
2017-01-26,000338,0.285
2017-01-26,000776,0.549
2017-01-26,601607,0.268
2017-01-26,600875,0.137
2017-01-26,600104,0.942
2017-01-26,600068,0.29
2017-01-26,600498,0.138
2017-01-26,002310,0.156
2017-01-26,300251,0.099
2017-01-26,600837,1.392
2017-01-26,600795,0.406
2017-01-26,600871,0.074
2017-01-26,600703,0.317
2017-01-26,600666,0.14
2017-01-26,600535,0.275
2017-01-26,601166,2.413
2017-01-26,600373,0.124
2017-01-26,600482,0.115
2017-01-26,600900,0.911
2017-01-26,000800,0.094
2017-01-26,002797,0.07
2017-01-26,000415,0.137
2017-01-26,600016,2.318
2017-01-26,601288,1.301
2017-01-26,600406,0.257
2017-01-26,000738,0.124
2017-01-26,601939,0.409
2017-01-26,600739,0.231
2017-01-26,000568,0.25
2017-01-26,000671,0.097
2017-01-26,000839,0.249
2017-01-26,601216,0.121
2017-01-26,601198,0.224
2017-01-26,300315,0.182
2017-01-26,000555,0.059
2017-01-26,600030,1.375
2017-01-26,300059,0.36
2017-01-26,601877,0.079
2017-01-26,601899,0.42
2017-01-26,601390,0.7
2017-01-26,601111,0.205
2017-01-26,601998,0.227
2017-01-26,600332,0.147
2017-01-26,600188,0.044
2017-01-26,000792,0.146
2017-01-26,600010,0.304
2017-01-26,000069,0.242
2017-01-26,601669,0.317
2017-01-26,603993,0.17
2017-01-26,601766,1.031
2017-01-26,002230,0.262
2017-01-26,002426,0.139
2017-01-26,002385,0.141
2017-01-26,601857,0.445
2017-01-26,002085,0.182
2017-01-26,601009,0.443
2017-01-26,000061,0.085
2017-01-26,600109,0.3
2017-01-26,600074,0.14
2017-01-26,000060,0.197
2017-01-26,002131,0.097
2017-01-26,601618,0.287
2017-01-26,600221,0.233
2017-01-26,000778,0.117
2017-01-26,600839,0.17
2017-01-26,600804,0.275
2017-01-26,600873,0.135
2017-01-26,600704,0.131
2017-01-26,600547,0.291
2017-01-26,601318,4.192
2017-01-26,600376,0.128
2017-01-26,002007,0.203
2017-01-26,600867,0.22
2017-01-26,300017,0.244
2017-01-26,000750,0.203
2017-01-26,002183,0.166
2017-01-26,600518,0.566
2017-01-26,000157,0.212
2017-01-26,000423,0.302
2017-01-26,600019,0.356
2017-01-26,601933,0.207
2017-01-26,000983,0.149
2017-01-26,601718,0.141
2017-01-26,600783,0.077
2017-01-26,000858,0.744
2017-01-26,000963,0.197
2017-01-26,000938,0.084
2017-01-26,601258,0.136
2017-01-26,600741,0.222
2017-01-26,000623,0.222
2017-01-26,000686,0.181
2017-01-26,002202,0.277
2017-01-26,600415,0.232
2017-01-26,601021,0.094
